experiment,location,workers,connections,streams,variant,trials,full_population_trials,server_binary_sha256,requests_per_second,server_cpu_us_per_request,p50_ms,p99_ms,rss_bytes,peak_rss_bytes,prepared_rss_bytes,measurement_failure_rate,server_cpu_cores,client_cpu_cores,setup_attempted,setup_succeeded,setup_failed,holding_attempted,holding_succeeded,holding_failed,warmup_attempted,warmup_succeeded,warmup_failed,measurement_attempted,measurement_succeeded,measurement_failed,setup_unattempted,failure_records
zhtps-bun-headers-multi,loopback,2,1024,4,baseline,3,3,98a91544db4f18e1a9fb45aca4e81e2973e4dd4f47e73d84f479c67d87e5ef2d,288146.3670636593,5.746105225263478,14.0,21.1,185638912,185638912,183730176,0.0,1.654887479708011,6.2306749213462345,3072,3072,0,0,0,0,1689468,1689468,0,5174278,5174278,0,0,0
zhtps-bun-headers-multi,loopback,2,1024,4,headers,3,3,a94790f6bf65b6668c9c5771f25404123c5c377f8ab946abd819feef7d91a6db,304911.9507623855,5.363079968268898,13.4,20.0,185835520,185835520,183758848,0.0,1.6339351858459301,6.573497230081484,3072,3072,0,0,0,0,1794366,1794366,0,5314645,5314645,0,0,0
zhtps-bun-headers-multi,loopback,4,1024,4,baseline,3,3,98a91544db4f18e1a9fb45aca4e81e2973e4dd4f47e73d84f479c67d87e5ef2d,584560.6622471868,5.657612777833775,6.72,12.6,200421376,200421376,198950912,0.0,3.3061937913345623,12.94125871211566,3072,3072,0,0,0,0,3472565,3472565,0,10524644,10524644,0,0,0
zhtps-bun-headers-multi,loopback,4,1024,4,headers,3,3,a94790f6bf65b6668c9c5771f25404123c5c377f8ab946abd819feef7d91a6db,615092.2541522165,5.312626269597246,6.37,12.4,200761344,200761344,199086080,0.0,3.2695845329550015,13.768650696751367,3072,3072,0,0,0,0,3671719,3671719,0,11071408,11071408,0,0,0
zhtps-bun-headers-multi,loopback,8,1024,4,baseline,3,3,98a91544db4f18e1a9fb45aca4e81e2973e4dd4f47e73d84f479c67d87e5ef2d,636611.0673998351,6.960442705089706,6.28,14.2,230871040,230871040,229355520,0.0,4.445389357352725,14.223680099889165,3072,3072,0,0,0,0,3795324,3795324,0,11560677,11560677,0,0,0
zhtps-bun-headers-multi,loopback,8,1024,4,headers,3,3,a94790f6bf65b6668c9c5771f25404123c5c377f8ab946abd819feef7d91a6db,638095.6727081685,6.600788111339155,6.27,14.3,230645760,230645760,229105664,0.0,4.245062255450047,14.220811586943595,3072,3072,0,0,0,0,3794953,3794953,0,11508403,11508403,0,0,0
zhtps-bun-headers-remote,remote,8,64,4,baseline,3,3,98a91544db4f18e1a9fb45aca4e81e2973e4dd4f47e73d84f479c67d87e5ef2d,288829.9034314688,7.689154239001479,0.821,1.95,87887872,87887872,87973888,0.0,2.2229894113914392,6.385637132374117,192,192,0,0,0,0,1715726,1715726,0,6996157,6996157,0,0,0
zhtps-bun-headers-remote,remote,8,64,4,headers,3,3,a94790f6bf65b6668c9c5771f25404123c5c377f8ab946abd819feef7d91a6db,289986.467382765,7.362696611149996,0.82,1.98,88014848,88014848,88014848,0.0,2.1455845604946497,6.427172161970076,192,192,0,0,0,0,1697349,1697349,0,6962956,6962956,0,0,0
zhtps-bun-headers-remote,remote,8,1024,4,baseline,3,3,98a91544db4f18e1a9fb45aca4e81e2973e4dd4f47e73d84f479c67d87e5ef2d,266506.268118694,7.257665339637481,1.75,222.0,231288832,231288832,228937728,3.4742639554668847e-06,1.9331288111396372,6.458948779851678,3072,3072,0,0,0,0,1711889,1711865,24,6929076,6929044,32,0,56
zhtps-bun-headers-remote,remote,8,1024,4,headers,3,3,a94790f6bf65b6668c9c5771f25404123c5c377f8ab946abd819feef7d91a6db,267385.4544756474,6.896178998000324,1.74,225.0,231075840,231075840,229076992,5.2826876201536296e-06,1.8425733764785939,6.481466191225967,3072,3072,0,0,0,0,1735029,1735029,0,6902381,6902341,40,0,40
