experiment,location,workers,connections,streams,variant,trials,full_population_trials,server_binary_sha256,requests_per_second,server_cpu_us_per_request,p50_ms,p99_ms,rss_bytes,peak_rss_bytes,prepared_rss_bytes,measurement_failure_rate,server_cpu_cores,client_cpu_cores,setup_attempted,setup_succeeded,setup_failed,holding_attempted,holding_succeeded,holding_failed,warmup_attempted,warmup_succeeded,warmup_failed,measurement_attempted,measurement_succeeded,measurement_failed,setup_unattempted,failure_records
zhtps-bun-pool-multi,loopback,2,64,4,baseline,3,3,98a91544db4f18e1a9fb45aca4e81e2973e4dd4f47e73d84f479c67d87e5ef2d,323762.12058060674,4.96604374936303,0.794,1.17,36519936,36519936,36433920,0.0,1.60683915415748,4.131288609045832,192,192,0,0,0,0,1934397,1934397,0,4864797,4864797,0,0,0
zhtps-bun-pool-multi,loopback,2,64,4,pool,3,3,5ae1ee8d49e9410f7fcaf538944464e7869280c8e193a1acc16bf7516d139a05,327982.92057813803,4.865384920233294,0.775,1.16,37023744,37023744,36876288,0.0,1.6007096372280583,4.17183581362544,192,192,0,0,0,0,1972318,1972318,0,4838452,4838452,0,0,0
zhtps-bun-pool-multi,loopback,2,1024,4,baseline,3,3,98a91544db4f18e1a9fb45aca4e81e2973e4dd4f47e73d84f479c67d87e5ef2d,260318.97227093604,6.3604798100745406,15.4,23.2,185315328,185315328,183656448,0.0,1.6546781361497465,5.5965092978782724,3072,3072,0,0,0,0,1560543,1560543,0,3920521,3920521,0,0,0
zhtps-bun-pool-multi,loopback,2,1024,4,pool,3,3,5ae1ee8d49e9410f7fcaf538944464e7869280c8e193a1acc16bf7516d139a05,260449.7939610982,6.34904101909384,15.2,23.7,191066112,191066112,188403712,0.0,1.6527246944914165,5.651898302895268,3072,3072,0,0,0,0,1538266,1538266,0,3948398,3948398,0,0,0
zhtps-bun-pool-multi,loopback,4,64,4,baseline,3,3,98a91544db4f18e1a9fb45aca4e81e2973e4dd4f47e73d84f479c67d87e5ef2d,633305.4885216787,5.030285921072824,0.384,0.8,53768192,53768192,53751808,0.0,3.1985031852156998,7.968942777779654,192,192,0,0,0,0,3769303,3769303,0,9503033,9503033,0,0,0
zhtps-bun-pool-multi,loopback,4,64,4,pool,3,3,5ae1ee8d49e9410f7fcaf538944464e7869280c8e193a1acc16bf7516d139a05,641245.5102432746,4.991189533459902,0.374,0.813,54353920,54353920,54202368,0.0,3.1906832018538385,8.013813540887421,192,192,0,0,0,0,3860386,3860386,0,9643767,9643767,0,0,0
zhtps-bun-pool-multi,loopback,4,1024,4,baseline,3,3,98a91544db4f18e1a9fb45aca4e81e2973e4dd4f47e73d84f479c67d87e5ef2d,552170.7068829463,5.954480420937632,7.2,13.3,200503296,200503296,198934528,0.0,3.2907570634480887,12.31351672602066,3072,3072,0,0,0,0,3420680,3420680,0,8315262,8315262,0,0,0
zhtps-bun-pool-multi,loopback,4,1024,4,pool,3,3,5ae1ee8d49e9410f7fcaf538944464e7869280c8e193a1acc16bf7516d139a05,560133.7521811326,5.862295951806508,7.08,13.4,206561280,206561280,204148736,0.0,3.28182543099472,12.465807168148437,3072,3072,0,0,0,0,3369039,3369039,0,8442842,8442842,0,0,0
zhtps-bun-pool-remote,remote,8,64,4,baseline,3,3,98a91544db4f18e1a9fb45aca4e81e2973e4dd4f47e73d84f479c67d87e5ef2d,287683.5508987657,7.556463930478839,0.827,1.93,88059904,88059904,88059904,0.0,2.186433881618619,6.430485358692166,192,192,0,0,0,0,1701028,1701028,0,6959485,6959485,0,0,0
zhtps-bun-pool-remote,remote,8,64,4,pool,3,3,5ae1ee8d49e9410f7fcaf538944464e7869280c8e193a1acc16bf7516d139a05,292647.1141983634,7.506788262637849,0.815,1.96,88768512,88768512,88580096,0.0,2.2027735095035332,6.4960514740109465,192,192,0,0,0,0,1686441,1686441,0,7014930,7014930,0,0,0
zhtps-bun-pool-remote,remote,8,1024,4,baseline,3,3,98a91544db4f18e1a9fb45aca4e81e2973e4dd4f47e73d84f479c67d87e5ef2d,272164.9440000049,7.136065059899167,1.76,223.0,230998016,230998016,228933632,1.3850661304152299e-05,1.9407465269948112,6.616255995075923,3072,3072,0,0,0,0,1709918,1709918,0,6919944,6919872,72,0,72
zhtps-bun-pool-remote,remote,8,1024,4,pool,3,3,5ae1ee8d49e9410f7fcaf538944464e7869280c8e193a1acc16bf7516d139a05,269199.1956481314,7.064875330213231,1.72,223.0,237166592,237166592,233869312,0.0,1.9081203457766498,6.540245553363306,3072,3072,0,0,0,0,1706588,1706572,16,6829289,6829289,0,0,16
zhtps-bun-pool-remote,remote,8,8192,4,baseline,3,3,98a91544db4f18e1a9fb45aca4e81e2973e4dd4f47e73d84f479c67d87e5ef2d,222541.81379195914,11.461629536501155,6.88,908.0,1358049280,1358049280,1340043264,0.0003438015074668045,2.518424240023351,5.965558708564316,24576,24576,0,0,0,0,1608196,1607880,316,6299961,6297697,2264,0,2580
zhtps-bun-pool-remote,remote,8,8192,4,pool,3,3,5ae1ee8d49e9410f7fcaf538944464e7869280c8e193a1acc16bf7516d139a05,224843.61777987334,11.363361276569687,7.01,1050.0,1398304768,1398304768,1371844608,0.00038242968109824697,2.5540145616501486,6.022475124791566,24576,24576,0,0,0,0,1605718,1605502,216,6314037,6311846,2191,0,2407
zhtps-bun-pool-remote,remote,8,16384,4,baseline,3,3,98a91544db4f18e1a9fb45aca4e81e2973e4dd4f47e73d84f479c67d87e5ef2d,203546.44407892766,18.653448914661336,224.0,1330.0,2644381696,2644381696,2608779264,0.0041358685176370626,3.804191600153635,5.776992082953322,49152,49152,0,0,0,0,1593185,1591025,2160,6094560,6069898,24662,0,26822
zhtps-bun-pool-remote,remote,8,16384,4,pool,3,3,5ae1ee8d49e9410f7fcaf538944464e7869280c8e193a1acc16bf7516d139a05,205395.0984444433,18.300507118902228,224.0,1330.0,2725269504,2725269504,2673815552,0.003942499288357529,3.746185557361792,5.825228501489457,49152,49152,0,0,0,0,1585000,1582741,2259,6094683,6070958,23725,0,25984
zhtps-bun-pool-screen,loopback,8,64,4,baseline,3,3,98a91544db4f18e1a9fb45aca4e81e2973e4dd4f47e73d84f479c67d87e5ef2d,1081154.3552937906,5.6832854977883525,0.216,0.687,87928832,87928832,87928832,0.0,6.15410788329701,12.644379468741134,192,192,0,0,0,0,6575926,6575926,0,16209333,16209333,0,0,0
zhtps-bun-pool-screen,loopback,8,64,4,pool,3,3,5ae1ee8d49e9410f7fcaf538944464e7869280c8e193a1acc16bf7516d139a05,1080023.664061392,5.553896859742505,0.216,0.692,88784896,88784896,88641536,0.0,6.076245906955164,12.603079497020643,192,192,0,0,0,0,6642525,6642525,0,16260964,16260964,0,0,0
zhtps-bun-pool-screen,loopback,8,1024,4,baseline,3,3,98a91544db4f18e1a9fb45aca4e81e2973e4dd4f47e73d84f479c67d87e5ef2d,644126.9274629686,6.9587866558977804,6.2,14.2,230592512,230592512,229359616,0.0,4.473481462395513,14.233006415694717,3072,3072,0,0,0,0,3831531,3831531,0,9670786,9670786,0,0,0
zhtps-bun-pool-screen,loopback,8,1024,4,pool,3,3,5ae1ee8d49e9410f7fcaf538944464e7869280c8e193a1acc16bf7516d139a05,644239.1854025592,6.843267450719939,6.2,14.2,237228032,237228032,234713088,0.0,4.401105851836343,14.219008826879545,3072,3072,0,0,0,0,3840871,3840871,0,9674532,9674532,0,0,0
