workers,phase,charged_bytes_median_percent,charged_bytes_before,charged_bytes_after,rss_bytes_median_percent,rss_bytes_before,rss_bytes_after,peak_rss_bytes_median_percent,peak_rss_bytes_before,peak_rss_bytes_after,virtual_bytes_median_percent,virtual_bytes_before,virtual_bytes_after
1,connected,0.0,5837440,5837440,-0.19943493435267134,24645632,24596480,-0.19943493435267134,24645632,24596480,0.026827632461445816,30535680,30543872
1,pending_heads,-56.95784946591409,54301376,23372480,-43.1869649268158,74158080,42131456,-43.1869649268158,74158080,42131456,-39.88528116357677,79978496,48078848
1,pending_bodies,-43.513815517572056,71078336,40149440,-35.2146299716229,90935296,58912768,-35.2146299716229,90935296,58912768,-32.96787029589806,96759808,64860160
1,completed,-34.844503920929604,22190656,14458432,6.060606060606055,55554048,58920960,-34.935998914469224,90558464,58920960,5.686444637255561,61370368,64860160
2,connected,0.0,5837440,5837440,0.0,28831744,28831744,0.0,28831744,28831744,0.5651150153957563,113070080,113709056
2,pending_heads,-56.95784946591409,54301376,23372480,-40.82827860280276,78331904,46350336,-40.82827860280276,78331904,46350336,-23.412627891035566,161337344,123564032
2,pending_bodies,-43.513815517572056,71078336,40149440,-33.61901890692967,95105024,63131648,-33.61901890692967,95105024,63131648,-21.64092664092664,169738240,133005312
2,completed,-40.18519996806897,38482944,23018496,-11.70608785292938,71520256,63148032,-33.17874479889043,94502912,63148032,-8.99103139013453,146145280,133005312
4,connected,0.0,5837440,5837440,-0.0665557404326167,36925440,36900864,-0.0665557404326167,36925440,36900864,-0.1617868136588152,286085120,285622272
4,pending_heads,-56.95784946591409,54301376,23372480,-37.048449796150564,86401024,54390784,-37.048449796150564,86401024,54390784,-13.226111172451017,333877248,289718272
4,pending_bodies,-43.513815517572056,71078336,40149440,-31.012030015484182,103165952,71172096,-31.012030015484182,103165952,71172096,-13.283499044439607,338632704,293650432
4,completed,-43.21646994415257,65976180,37463604,-28.466792856555013,99540992,71204864,-30.209964269942592,102027264,71204864,-12.265801872361259,334704640,293650432
8,connected,0.0,5837440,5837440,0.05407493240634498,53022720,53051392,0.05407493240634498,53022720,53051392,0.05097563493701163,634781696,635105280
8,pending_heads,-56.95784946591409,54301376,23372480,-31.202526585112334,102457344,70488064,-31.202526585112334,102457344,70488064,-6.544985140043824,682209280,637558784
8,pending_bodies,-43.513815517572056,71078336,40149440,-26.794488540700268,119205888,87265280,-26.794488540700268,119205888,87265280,-6.4507823212756605,684044288,639918080
8,completed,-43.52043802851148,71067520,40138624,-26.78755409025345,119267328,87318528,-26.78755409025345,119267328,87318528,-6.4507823212756605,684044288,639918080
