experiment,location,workers,connections,streams,variant,trials,full_population_trials,server_binary_sha256,requests_per_second,server_cpu_us_per_request,p50_ms,p99_ms,rss_bytes,peak_rss_bytes,prepared_rss_bytes,measurement_failure_rate,server_cpu_cores,client_cpu_cores,setup_attempted,setup_succeeded,setup_failed,holding_attempted,holding_succeeded,holding_failed,warmup_attempted,warmup_succeeded,warmup_failed,measurement_attempted,measurement_succeeded,measurement_failed,setup_unattempted,failure_records
zhtps-bun-storage-multi,loopback,2,1024,4,headers,3,3,a94790f6bf65b6668c9c5771f25404123c5c377f8ab946abd819feef7d91a6db,296653.1023073818,5.507163799427076,13.4,20.6,185536512,185536512,183652352,0.0,1.6324086277938787,6.477070251185291,3072,3072,0,0,0,0,1748618,1748618,0,5417645,5417645,0,0,0
zhtps-bun-storage-multi,loopback,2,1024,4,storage,3,3,866aae4b15f0ed79c9668ec0c42b55e858a757d88e4c3b6f1c8a0b55a003f7c3,300900.0754905201,5.4345662740657845,13.4,19.0,185389056,185389056,183398400,0.0,1.6336245030031973,6.683360428710909,3072,3072,0,0,0,0,1773526,1773526,0,5369516,5369516,0,0,0
zhtps-bun-storage-multi,loopback,4,1024,4,headers,3,3,a94790f6bf65b6668c9c5771f25404123c5c377f8ab946abd819feef7d91a6db,612722.7067338754,5.34634421980864,6.38,12.6,200749056,200749056,199106560,0.0,3.273425630686215,13.838827596676028,3072,3072,0,0,0,0,3637081,3637081,0,10995953,10995953,0,0,0
zhtps-bun-storage-multi,loopback,4,1024,4,storage,3,3,866aae4b15f0ed79c9668ec0c42b55e858a757d88e4c3b6f1c8a0b55a003f7c3,614702.7245987419,5.323831674848741,6.39,12.6,200179712,200179712,198516736,0.0,3.2699803993149352,13.979644582418185,3072,3072,0,0,0,0,3682720,3682720,0,11029160,11029160,0,0,0
zhtps-bun-storage-multi,loopback,8,1024,4,headers,3,3,a94790f6bf65b6668c9c5771f25404123c5c377f8ab946abd819feef7d91a6db,643047.3245962665,6.501468917539098,6.21,14.3,230920192,230920192,229367808,0.0,4.178759302817063,14.141317595886,3072,3072,0,0,0,0,3760771,3760771,0,11550884,11550884,0,0,0
zhtps-bun-storage-multi,loopback,8,1024,4,storage,3,3,866aae4b15f0ed79c9668ec0c42b55e858a757d88e4c3b6f1c8a0b55a003f7c3,627164.5392970565,6.6501651918030875,6.37,14.7,229666816,229666816,228216832,0.0,4.165749839167863,14.089307127458035,3072,3072,0,0,0,0,3775938,3775938,0,11380865,11380865,0,0,0
zhtps-bun-storage-remote,remote,8,64,4,headers,3,3,a94790f6bf65b6668c9c5771f25404123c5c377f8ab946abd819feef7d91a6db,288806.33021599276,7.499369282704585,0.825,1.93,88096768,88096768,88096768,0.0,2.164082124509978,6.443140011318769,192,192,0,0,0,0,1694765,1694765,0,6970561,6970561,0,0,0
zhtps-bun-storage-remote,remote,8,64,4,storage,3,3,866aae4b15f0ed79c9668ec0c42b55e858a757d88e4c3b6f1c8a0b55a003f7c3,289323.53574478003,7.52172210302514,0.824,1.93,86937600,86937600,86929408,0.0,2.175273233427113,6.435224226688081,192,192,0,0,0,0,1680374,1680374,0,6933760,6933760,0,0,0
zhtps-bun-storage-remote,remote,8,1024,4,headers,3,3,a94790f6bf65b6668c9c5771f25404123c5c377f8ab946abd819feef7d91a6db,267305.19695982605,6.7629972753009655,1.82,219.0,231178240,231178240,228978688,1.0636317706809902e-05,1.8285847807619806,6.519427568701264,3072,3072,0,0,0,0,1714461,1714449,12,6875120,6875056,64,0,76
zhtps-bun-storage-remote,remote,8,1024,4,storage,3,3,866aae4b15f0ed79c9668ec0c42b55e858a757d88e4c3b6f1c8a0b55a003f7c3,268564.9332431547,6.849856530906014,1.81,220.0,230113280,230113280,228089856,8.687123684660885e-06,1.8214219218106271,6.543584204725736,3072,3072,0,0,0,0,1715316,1715300,16,6883675,6883631,44,0,60
zhtps-bun-storage-remote,remote,8,8192,4,headers,3,3,a94790f6bf65b6668c9c5771f25404123c5c377f8ab946abd819feef7d91a6db,232289.39190926144,11.832245474095053,9.55,847.0,1360142336,1360142336,1340575744,0.00017493012354081512,2.6932913010524793,6.2630711016995075,24576,24576,0,0,0,0,1601942,1601692,250,6285689,6284541,1148,0,1398
zhtps-bun-storage-remote,remote,8,8192,4,storage,3,3,866aae4b15f0ed79c9668ec0c42b55e858a757d88e4c3b6f1c8a0b55a003f7c3,231404.59619428078,12.200753548093749,9.34,847.0,1358389248,1358389248,1339219968,0.00019916389464995989,2.747541888993716,6.230501568921502,24576,24576,0,0,0,0,1604165,1604001,164,6298113,6297031,1082,0,1246
zhtps-bun-storage-remote,remote,8,16384,4,headers,3,3,a94790f6bf65b6668c9c5771f25404123c5c377f8ab946abd819feef7d91a6db,201004.5112159231,20.363032014319355,228.0,1280.0,2645032960,2645032960,2609520640,0.0017922215181789267,4.090788032616525,5.634548774276859,49152,49152,0,0,0,0,1553833,1552632,1201,5986908,5976147,10761,0,11962
zhtps-bun-storage-remote,remote,8,16384,4,storage,3,3,866aae4b15f0ed79c9668ec0c42b55e858a757d88e4c3b6f1c8a0b55a003f7c3,200211.12607638352,20.918427695273472,228.0,1290.0,2645778432,2645778432,2609393664,0.0020483941273007397,4.174908592587034,5.6445206234996546,49152,49152,0,0,0,0,1549439,1548215,1224,5965529,5953178,12351,0,13575
zhtps-bun-storage-screen,loopback,1,64,4,headers,3,3,a94790f6bf65b6668c9c5771f25404123c5c377f8ab946abd819feef7d91a6db,175148.98744439552,4.553829503861229,1.45,1.99,27918336,27918336,27828224,0.0,0.7978518608515871,2.192243449187734,192,192,0,0,0,0,1023234,1023234,0,3166384,3166384,0,0,0
zhtps-bun-storage-screen,loopback,1,64,4,storage,3,3,866aae4b15f0ed79c9668ec0c42b55e858a757d88e4c3b6f1c8a0b55a003f7c3,171742.68668830057,4.598941273266374,1.47,2.02,27844608,27844608,27746304,0.0,0.7928673867096642,2.2034290189775563,192,192,0,0,0,0,1024495,1024495,0,3115501,3115501,0,0,0
