workers,connections,streams,server,requests_per_second,min_requests_per_second,max_requests_per_second,p50_ms,p99_ms,min_p99_ms,max_p99_ms,server_cpu_us_per_request,server_cpu_cores,client_cpu_cores,errors
1,1,1,bun,41939.3083427118,41727.923950858596,41954.248843573725,0.024,0.032,0.031,0.037,9.742726473699108,0.40869552711883916,0.6205603839749254,0
1,1,1,go,31259.40527618716,30958.160159419214,31378.517132425044,0.032,0.047,0.046,0.055,17.68719948691187,0.5549428724465136,0.5969816425592732,0
1,1,1,node,35290.64969411,35105.32745861029,36647.02441766061,0.027,0.036,0.035,0.044,14.492082765103635,0.5086886701412391,0.5379981464160103,0
1,1,1,zhtps,38708.839015295525,38671.01462325652,39464.09748365803,0.026,0.037,0.032,0.038,8.77379138648076,0.34121010132187257,0.6106055742552634,0
1,1,32,bun,127757.83141015413,127693.75391183238,128012.05119537556,0.235,0.585,0.584,0.588,6.180994759336671,0.7911374279675613,0.967968468149568,0
1,1,32,go,58219.98031977272,58155.288754186295,58234.881225757636,0.558,0.814,0.812,0.821,14.084023221462678,0.8199058761377709,0.8428540109729324,0
1,1,32,node,112382.27409767245,112304.75031565398,112689.25444122675,0.221,3.25,3.19,3.28,8.163946278119177,0.9173525581660845,0.9080186559122435,0
1,1,32,zhtps,127245.13832529177,127233.9869090113,127322.49868585057,0.254,0.607,0.597,0.634,5.432844442828891,0.691159104370263,0.9898787006708454,0
1,8,32,bun,132879.9025636293,131503.39102029652,133907.64151419193,1.92,2.3,2.3,2.34,6.141269897996612,0.8159840506023026,1.8973918610212261,0
1,8,32,go,56607.66982886991,56148.430473456865,56725.027951484146,4.36,8.41,8.37,8.55,14.78878524476543,0.8371192703078586,1.1006956956326401,0
1,8,32,node,115970.75685445586,115330.22955905873,116047.60624198221,1.78,11.7,11.6,11.7,8.231640962541723,0.9544958951627915,1.428225891557909,0
1,8,32,zhtps,259472.65449159124,257431.01748273402,260526.2873458598,1.05,1.33,1.29,1.34,3.5068417133041287,0.9072455364523752,3.2960809164703915,0
1,64,4,bun,127020.83042970195,125660.66049799375,128299.58582719743,2.01,2.21,2.21,2.23,6.168612681959317,0.7809922663041657,1.9078378015768185,0
1,64,4,go,58179.439876662414,57041.975919824625,58179.636014800984,4.32,7.64,7.59,7.67,13.78845249319705,0.8021451522415002,1.237103075794772,0
1,64,4,node,93254.50888982302,86961.96218453888,95480.00877667013,2.55,3.59,3.34,12.7,9.273852025773804,0.8659729321768611,1.3560164952352174,0
1,64,4,zhtps,163093.88618678175,162481.81164770573,164615.51511851384,1.56,2.15,2.1,2.18,4.892179742991337,0.7985005165983926,2.491280879238547,0
2,8,32,go,104217.82845775777,103871.99829235768,105445.4482186695,2.3,8.22,7.69,8.37,14.941015365503281,1.556981700643356,1.927067561191001,0
2,8,32,zhtps,505798.10304104665,493780.7882685741,507046.7225502788,0.471,0.918,0.913,1.06,3.5930928597040572,1.8168547547078442,6.459398400948703,0
2,64,4,go,113519.00190846968,113018.95566755056,113735.1215106908,2.14,6.56,6.28,6.66,13.11314408273502,1.4871009918433584,2.2718589490698626,0
2,64,4,zhtps,324793.790272554,321671.11024945305,327026.07754555973,0.764,1.33,1.23,1.35,4.92566479157896,1.6020564630584597,4.695376808122417,0
4,8,32,go,220347.90233416774,219536.5473077473,221248.3645821238,0.986,4.02,4.02,4.04,14.310801336809218,3.1530389897078237,3.6100816782353644,0
4,8,32,zhtps,721647.4144935599,719985.467953964,735296.5798988651,0.306,0.893,0.776,0.894,4.364776118162111,3.142549468717589,9.188625330269174,0
4,64,4,go,223817.664056103,222448.62253638802,224841.8439979772,0.901,4.23,4.18,4.26,13.385759495261373,2.9955474770912605,4.228909079735478,0
4,64,4,zhtps,643218.474645077,635269.3838602199,645188.6981598658,0.39,0.905,0.893,0.931,4.9669096164306,3.196274579889298,9.182354991470918,0
8,8,32,go,470283.9942481057,468270.0864270709,471866.94678826665,0.498,1.55,1.53,1.56,13.57802743524412,6.373120517367722,6.424711112650279,0
8,8,32,zhtps,894002.8296512654,810381.9326069566,907070.7509278554,0.257,0.911,0.849,0.926,4.617973015243321,3.9671262586935105,11.339668002458948,0
8,64,4,go,400293.3752377223,399371.5670515296,400371.2373303102,0.365,3.52,3.5,3.53,15.169205794205794,6.064713768581869,6.759460262066472,0
8,64,4,zhtps,975367.594876485,956715.4157103072,983825.5470227972,0.237,0.808,0.799,0.841,5.851898436656312,5.711231082234301,13.285772393094392,0
